config_id,output_dim,width_mode,dropout,weight_decay,num_layers,num_folds,num_data_seeds,mean_outcome_rmse,std_outcome_rmse,mean_gps_ce,std_gps_ce,n_eval_folds,runtime_sec,z_outcome_rmse,z_gps_ce,joint_score,rank
cfg_005,6,split,0.1,0.0,2,3,2,1.741695801417033,0.17750297775466548,1.8804569244384766,1.0408765937066238,6,26.257907152175903,-1.006248243474385,-1.1440798051861272,-1.075164024330256,1
cfg_021,12,split,0.1,0.0,2,3,2,1.7397581338882446,0.15085632646878794,3.0204051633675895,2.214517528579837,6,31.668238878250122,-1.0235515996919766,-0.7199378198788299,-0.8717447097854032,2
cfg_014,8,full,0.1,0.0,2,3,2,1.7503562172253926,0.14243471395242402,2.936707695325216,0.9485233198905639,6,29.638827085494995,-0.92891079651917,-0.751079242838556,-0.839995019678863,3
cfg_011,8,split,0.0,0.0001,2,3,2,1.7049089670181274,0.2750914527772743,4.732626299063365,4.29814031611203,6,9.316020965576172,-1.3347543934019022,-0.08286953293507403,-0.708811963168488,4
cfg_015,8,split,0.1,0.0001,2,3,2,1.8166723251342773,0.1992509664056202,2.2304118871688843,0.6123946824320453,6,31.742883920669556,-0.3367084599143744,-1.0138716188915857,-0.67529003940298,5
cfg_007,6,split,0.1,0.0001,2,3,2,1.823185662428538,0.1696473557120057,2.1177050669988,0.7607960188711007,6,28.763490915298462,-0.27854440767451744,-1.0558065882455625,-0.6671754979600399,6
cfg_023,12,split,0.1,0.0001,2,3,2,1.7734615008036296,0.1623474014666196,3.7762815952301025,1.9111554166371703,6,32.19977903366089,-0.7225807908175658,-0.43869791835633765,-0.5806393545869517,7
cfg_006,6,full,0.1,0.0,2,3,2,1.8525364001592,0.1422082928994182,2.3677967488765717,1.3566280001293165,6,26.057602167129517,-0.01644254414154331,-0.9627546593613815,-0.4895986017514624,8
cfg_001,6,split,0.0,0.0,2,3,2,1.6864200035730998,0.17934568816132107,6.732049147288005,5.3488157717009726,6,8.697073936462402,-1.4998606956081428,0.6610582590069813,-0.41940121830058075,9
cfg_013,8,split,0.1,0.0,2,3,2,1.8541117310523987,0.10406422606130586,2.8565329710642495,1.7944672806298458,6,28.654805183410645,-0.0023748513095124455,-0.7809099540570379,-0.39164240268327516,10
cfg_022,12,full,0.1,0.0,2,3,2,1.9107093214988708,0.2777018084021439,2.2086835503578186,1.1095130565262503,6,23.845181941986084,0.5030411986591192,-1.0219561086936215,-0.25945745501725115,11
cfg_003,6,split,0.0,0.0001,2,3,2,1.8283442258834839,0.3282867103460015,4.311431884765625,4.260657777564557,6,8.409604787826538,-0.2324784754617838,-0.2395838722180673,-0.23603117383992556,12
cfg_019,12,split,0.0,0.0001,2,3,2,1.7744467457135518,0.25914632841831864,5.680684665838878,3.4598767996337467,6,7.042337894439697,-0.713782561304677,0.2698757445602533,-0.22195340837221184,13
cfg_016,8,full,0.1,0.0001,2,3,2,1.9247898658116658,0.1885634791337121,2.468452592690786,0.777075314147136,6,26.600894927978516,0.6287803517192065,-0.9253035120459139,-0.14826158016335367,14
cfg_008,6,full,0.1,0.0001,2,3,2,1.9463430245717366,0.1837564365674513,2.1156018376350403,0.8405857506601302,6,25.08883786201477,0.8212498946613972,-1.0565891394592384,-0.11766962239892059,15
cfg_002,6,full,0.0,0.0,2,3,2,1.862884561220805,0.2359763524484076,5.641949892044067,4.646123233815117,6,7.705238103866577,0.07596645502145176,0.2554636482064806,0.16571505161396619,16
cfg_009,8,split,0.0,0.0,2,3,2,1.9195683201154072,0.33436398661535177,5.45992108186086,4.049044834009876,6,8.074873208999634,0.5821519885730825,0.18773595821350383,0.38494397339329317,17
cfg_012,8,full,0.0,0.0001,2,3,2,1.7308853069941204,0.2777739880532232,10.45420922835668,7.91946935473955,6,7.715029001235962,-1.1027858760190752,2.0459670754801915,0.47159059973055817,18
cfg_024,12,full,0.1,0.0001,2,3,2,1.9571982622146606,0.13214315394327647,5.047947347164154,2.9210250268294846,6,32.77490496635437,0.9181870838187045,0.03445236887012104,0.4763197263444128,19
cfg_018,12,full,0.0,0.0,2,3,2,1.8498473167419434,0.21219013220598176,7.670348505179088,4.238584604790684,6,6.256575107574463,-0.040456038498186825,1.0101724897042872,0.4848582256030502,20
cfg_020,12,full,0.0,0.0001,2,3,2,1.9222369194030762,0.2698605368406787,7.955438534418742,2.981057621174717,6,9.429759979248047,0.6059825598091202,1.1162462980261594,0.8611144289176398,21
cfg_017,12,split,0.0,0.0,2,3,2,1.8912664651870728,0.4574784505839659,9.669815023740133,5.636125696968451,6,10.538084030151367,0.329416640445631,1.7541165301237291,1.04176658528468,22
cfg_004,6,full,0.0,0.0001,2,3,2,2.1539689103762307,0.6639593209984989,7.550828735033671,5.958321369987819,6,10.77968430519104,2.675347467486365,0.9657026174225678,1.8205250424544666,23
cfg_010,8,full,0.0,0.0,2,3,2,2.0894681413968406,0.22910666794149379,10.042142222325007,10.435959760355152,6,10.29179573059082,2.0993560936427347,1.8926487825530542,1.9960024380978945,24
