theta_d_dir,n,num_runs,dropout,mean_outcome_mse,std_outcome_mse,mean_gps_macro_fnr,std_gps_macro_fnr,rank_joint_low
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2000,5,0.0,1.9778114030316665,0.20377056139710958,0.7094141451048162,0.027934481517344338,1
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2000,5,0.01,2.491099720713872,0.3183792525826293,0.7000958911243347,0.039538546689503955,2
"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2000,5,0.1,2.538924742766435,0.2490435218454251,0.6802333155392584,0.028337757253064855,3
