rank,tag,activation,dropout,output_dim,width_mode,weight_decay,num_layers,n,num_folds,num_data_seeds,mean_outcome_rmse,std_outcome_rmse,mean_gps_ce,std_gps_ce,z_outcome_rmse,z_gps_ce,joint_score,n_eval_folds,runtime_sec
1,c5,elu,0.2,6,split,0.0,2,2000,3,2,1.4352440039316814,0.06943857583659559,0.8644288778305054,0.0638355295803544,-1.453096560689086,-1.5270307205526765,-1.4900636406208814,6,176.71844100952148
2,c4,gelu,0.15,6,split,0.0,2,2000,3,2,1.592746078968048,0.09945783623157058,0.8937495152155558,0.07425794660482621,0.6320807916618112,-0.7952748491522416,-0.08159702874521518,6,155.6238181591034
3,c1,elu,0.15,6,split,0.0,2,2000,3,2,1.4887365301450093,0.08156035020284519,0.9506538410981497,0.12664170361864166,-0.7449064993561576,0.6248878173627314,-0.06000934099671312,6,161.04943203926086
4,c2,elu,0.3,6,split,0.0,2,2000,3,2,1.559200127919515,0.14714824115970537,0.9468057950337728,0.15014764482026277,0.18796437368241503,0.5288520366923297,0.3584082051873724,6,143.5736529827118
5,c3,relu,0.1,6,split,0.0,2,2000,3,2,1.649085263411204,0.1145097889993968,0.9724384049574534,0.1289948339429246,1.3779578947010174,1.16856571564986,1.2732618051754385,6,151.42035484313965
