config_id,output_dim,width_mode,dropout,weight_decay,activation,num_layers,num_folds,num_data_seeds,mean_outcome_rmse,std_outcome_rmse,mean_gps_ce,std_gps_ce,n_eval_folds,runtime_sec,z_outcome_rmse,z_gps_ce,joint_score,rank
cfg_014,6,split,0.15,0.0,elu,2,3,2,1.6721272667249043,0.14960540941382075,1.7062922020753224,0.6155143282890474,6,24.01144504547119,-1.3082671160747512,-0.8305281645539324,-1.069397640314342,1
cfg_022,6,split,0.3,0.0,elu,2,3,2,1.7097005049387615,0.17621480476161014,1.6310174663861592,0.18936270215927292,6,33.889262199401855,-1.0015176892387092,-0.8800774547761604,-0.9407975720074349,2
cfg_009,6,split,0.1,0.0,relu,2,3,2,1.7098103165626526,0.13090622139326102,2.2238919536272683,1.0428014263356284,6,28.70232391357422,-1.0006211827279632,-0.48982022219057336,-0.7452207024592683,3
cfg_015,6,split,0.15,0.0,gelu,2,3,2,1.7398960590362549,0.2104289663302023,1.8588159680366516,0.6141905409540515,6,26.30335807800293,-0.7549999720357568,-0.73013001268778,-0.7425649923617683,4
cfg_018,6,split,0.2,0.0,elu,2,3,2,1.7627623081207275,0.2893202527742453,1.8448354403177898,0.7350936438793968,6,30.22185492515564,-0.5683189955218589,-0.7393326384965547,-0.6538258170092068,5
cfg_006,6,split,0.05,0.0,elu,2,3,2,1.659548540910085,0.13127956518774359,3.1385193467140198,1.8892361423171564,6,22.887434005737305,-1.4109603391624679,0.11222955892582309,-0.6493653901183224,6
cfg_005,6,split,0.05,0.0,relu,2,3,2,1.7368095517158508,0.1617641510087756,2.184442698955536,1.341127675253665,6,21.76556372642517,-0.7801983418454159,-0.5157875344751605,-0.6479929381602882,7
cfg_023,6,split,0.3,0.0,gelu,2,3,2,1.7739596565564473,0.18269264875373348,1.7666625181833904,0.9519843121668256,6,30.616087198257446,-0.47690339287428835,-0.7907896482209292,-0.6338465205476088,8
cfg_016,6,split,0.15,0.0,leaky_relu,2,3,2,1.8405455152193706,0.19817729100865553,2.034741073846817,1.3689201966106455,6,30.871059894561768,0.06670623331716798,-0.6143280235428485,-0.2738108951128403,9
cfg_019,6,split,0.2,0.0,gelu,2,3,2,1.824936290582021,0.2607706411251763,2.677507976690928,1.8940232680495066,6,32.91322207450867,-0.060728103952600164,-0.19122931024041775,-0.12597870709650896,10
cfg_020,6,split,0.2,0.0,leaky_relu,2,3,2,1.959792176882426,0.23351559454170462,1.2081730266412098,0.2314928957361731,6,25.074642181396484,1.040240771624895,-1.15841309650189,-0.059086162438497514,11
cfg_007,6,split,0.05,0.0,gelu,2,3,2,1.7941084305445354,0.21202184622847103,3.3030861020088196,3.279986474223013,6,30.202309131622314,-0.31240799226185073,0.22055495979742415,-0.04592651623221329,12
cfg_012,6,split,0.1,0.0,leaky_relu,2,3,2,1.8918489615122478,0.3864200028940247,2.582764685153961,1.1601572664441644,6,39.3199098110199,0.48554963072361684,-0.25359369858393155,0.11597796606984265,13
cfg_024,6,split,0.3,0.0,leaky_relu,2,3,2,1.988696297009786,0.2135334997068807,1.4444770514965057,0.4097438203467881,6,26.085758924484253,1.276215169993301,-1.0028669281754394,0.13667412090893083,14
cfg_010,6,split,0.1,0.0,elu,2,3,2,1.8305759231249492,0.3750219296180615,3.5330141385396323,0.8770976873501793,6,27.341914892196655,-0.014685917216853129,0.3719041596051418,0.17860912119414432,15
cfg_011,6,split,0.1,0.0,gelu,2,3,2,1.740530550479889,0.08083576964728398,4.827001591523488,3.283381391696859,6,35.18983721733093,-0.7498199583898919,1.223666165340741,0.23692310347542456,16
cfg_017,6,split,0.2,0.0,relu,2,3,2,1.9444578488667805,0.18635930627359557,2.4016971389452615,1.7087749233833283,6,28.398520946502686,0.9150507014227387,-0.3727806783160059,0.2711350115533664,17
cfg_008,6,split,0.05,0.0,leaky_relu,2,3,2,1.8366628289222717,0.3061678157311115,3.8236537675062814,3.441020196349162,6,25.22628092765808,0.03500782634355816,0.5632165195078864,0.2991121729257223,18
cfg_013,6,split,0.15,0.0,relu,2,3,2,1.9977195262908936,0.2129660674915187,1.9265747268994649,0.8442532472273612,6,33.701584815979004,1.3498811764853675,-0.6855280838034937,0.3321765463409369,19
cfg_001,6,split,0.0,0.0,relu,2,3,2,1.6864200035730998,0.17934568816132107,6.732049147288005,5.3488157717009726,6,8.567612886428833,-1.191580638024919,2.477656011515803,0.643037686745442,20
cfg_021,6,split,0.3,0.0,relu,2,3,2,2.074599266052246,0.17697341757655952,1.9799958566824596,1.015534453345361,6,31.91147208213806,1.9775304616726508,-0.6503638412540778,0.6635833102092865,21
cfg_004,6,split,0.0,0.0,leaky_relu,2,3,2,1.8125117023785908,0.1164825446696749,5.661504089832306,3.431874514761531,6,6.8922812938690186,-0.1621629413861876,1.772974058637412,0.8054055586256123,22
cfg_002,6,split,0.0,0.0,elu,2,3,2,1.8909637530644734,0.2236897986551934,5.8099656502405805,4.497519950756623,6,10.759319067001343,0.47832275337970254,1.870698280133064,1.1745105167563832,23
cfg_003,6,split,0.0,0.0,gelu,2,3,2,2.0980113744735718,0.2507223469998501,4.931830883026123,3.853858208774052,6,10.126172065734863,2.1686678557505537,1.2926696223558996,1.7306687390532267,24
