theta_name,theta_d_dir,model,n,num_runs,clip,num_layers,output_dim,smoke_trials,smoke_max_treated_prop,smoke_mean_treated_prop,runtime_sec_theta_block,mse_tau_dir,mse_tau_in,mse_tau_out,mse_tau_tot,mean_mse_all
weak_directional,"(-0.5, 0.6, 0.5, 0.3, -0.2, 1.0)",gnn,2000,1,0.001,2,6,2,0.6685,0.6575,51.04409217834473,1.1150757952203831,0.9899965156941412,0.0003444997675628539,0.05776638479139924,0.5407957988683716
weak_directional,"(-0.5, 0.6, 0.5, 0.3, -0.2, 1.0)",dirgnn,2000,1,0.001,2,6,2,0.6685,0.6575,51.04409217834473,0.5209536211575638,0.37746512790068937,0.004304231484713644,0.10671412886445594,0.25235927735185565
