clip,n,num_runs,output_dim,num_layers,bandwidth,mean_bandwidth_used,variance_method,ci_alpha,z_crit,mse_tau_dir,cover_rate_tau_dir,mean_se_tau_dir,ci_gap_tau_dir,mse_tau_in,cover_rate_tau_in,mean_se_tau_in,ci_gap_tau_in,mse_tau_out,cover_rate_tau_out,mean_se_tau_out,ci_gap_tau_out,mse_tau_tot,cover_rate_tau_tot,mean_se_tau_tot,ci_gap_tau_tot,mean_mse_all,mean_cover_all,mean_ci_gap_all,rank_ci_then_mse
0.001,2000,100,6,2,auto,3.33,dir_avg,0.05,1.9599639845400534,0.7184675450571086,0.85,0.7160363750339183,0.09999999999999998,0.2024661527155451,0.9,0.34492247261709663,0.04999999999999993,0.11923860115906469,0.89,0.30644324068741846,0.05999999999999994,0.0889856071945826,0.86,0.23676515786263738,0.08999999999999997,0.2822894765315752,0.875,0.07499999999999996,1
0.005,2000,100,6,2,auto,3.33,dir_avg,0.05,1.9599639845400534,0.2911895406927918,0.79,0.3436481499941351,0.15999999999999992,0.12391102765539085,0.9,0.3005570534951338,0.04999999999999993,0.10522107391459397,0.89,0.29293873194441805,0.05999999999999994,0.08747706484809405,0.86,0.2361636119343249,0.08999999999999997,0.15194967677771767,0.86,0.08999999999999994,2
0.01,2000,100,6,2,auto,3.33,dir_avg,0.05,1.9599639845400534,0.28479041637077157,0.68,0.27342675807986366,0.2699999999999999,0.11027603709424358,0.91,0.28081902538749337,0.039999999999999925,0.09641417716779534,0.9,0.27550012544787345,0.04999999999999993,0.08555628257565892,0.86,0.23278826227814242,0.08999999999999997,0.14425922830211735,0.8375,0.11249999999999993,3
