config_id,clip,output_dim,bandwidth,bandwidth_is_auto,num_layers,n,num_runs,ci_alpha,z_crit,variance_type,variance_method,runtime_sec,mse_tau_dir,rmse_tau_dir,mean_se_tau_dir,cover_rate_tau_dir,ci_gap_tau_dir,mse_tau_in,rmse_tau_in,mean_se_tau_in,cover_rate_tau_in,ci_gap_tau_in,mse_tau_out,rmse_tau_out,mean_se_tau_out,cover_rate_tau_out,ci_gap_tau_out,mse_tau_tot,rmse_tau_tot,mean_se_tau_tot,cover_rate_tau_tot,ci_gap_tau_tot,mean_mse_all,mean_ci_gap_all,mean_cover_all,z_mean_mse_all,z_mean_ci_gap_all,joint_score,rank
cfg_013,0.01,4,auto,1,2,500,8,0.05,1.9599639845400534,directed,dir_avg,69.68717288970947,1.1459268368417526,1.0704797227606662,0.566964397014998,0.625,0.32499999999999996,0.26918507085434035,0.5188304837365865,0.5951495859305173,1.0,0.050000000000000044,0.4200493935746519,0.6481121766906188,0.5673966524357232,0.875,0.07499999999999996,0.28000216262068206,0.5291523056934384,0.4486629199840804,0.875,0.07499999999999996,0.5287908659728567,0.13124999999999998,0.84375,-0.5409027922887076,-0.8569983258447808,-0.6989505590667442,1
cfg_014,0.01,4,2,0,2,500,8,0.05,1.9599639845400534,directed,dir_avg,85.30375909805298,1.1459268368417526,1.0704797227606662,0.566964397014998,0.625,0.32499999999999996,0.26918507085434035,0.5188304837365865,0.5951495859305173,1.0,0.050000000000000044,0.4200493935746519,0.6481121766906188,0.5673966524357232,0.875,0.07499999999999996,0.28000216262068206,0.5291523056934384,0.4486629199840804,0.875,0.07499999999999996,0.5287908659728567,0.13124999999999998,0.84375,-0.5409027922887076,-0.8569983258447808,-0.6989505590667442,2
cfg_015,0.01,4,3,0,2,500,8,0.05,1.9599639845400534,directed,dir_avg,55.20118188858032,1.1459268368417526,1.0704797227606662,0.5681262037564754,0.625,0.32499999999999996,0.26918507085434035,0.5188304837365865,0.6034302170403447,1.0,0.050000000000000044,0.4200493935746519,0.6481121766906188,0.5820529605183948,0.875,0.07499999999999996,0.28000216262068206,0.5291523056934384,0.4508062187433013,0.875,0.07499999999999996,0.5287908659728567,0.13124999999999998,0.84375,-0.5409027922887076,-0.8569983258447808,-0.6989505590667442,3
cfg_007,0.005,4,auto,1,2,500,8,0.05,1.9599639845400534,directed,dir_avg,68.40076994895935,1.316463876005008,1.1473725968511745,0.6717916864792128,0.625,0.32499999999999996,0.36036582355282576,0.6003047755539063,0.6284947899322562,1.0,0.050000000000000044,0.40078794336072204,0.6330781494892412,0.5712550890753814,0.875,0.07499999999999996,0.27159472438030313,0.5211475073146787,0.45363938857633496,0.875,0.07499999999999996,0.5873030918247147,0.13124999999999998,0.84375,-0.4465306087461318,-0.8569983258447808,-0.6517644672954563,4
cfg_008,0.005,4,2,0,2,500,8,0.05,1.9599639845400534,directed,dir_avg,61.72540593147278,1.316463876005008,1.1473725968511745,0.6717916864792128,0.625,0.32499999999999996,0.36036582355282576,0.6003047755539063,0.6284947899322562,1.0,0.050000000000000044,0.40078794336072204,0.6330781494892412,0.5712550890753814,0.875,0.07499999999999996,0.27159472438030313,0.5211475073146787,0.45363938857633496,0.875,0.07499999999999996,0.5873030918247147,0.13124999999999998,0.84375,-0.4465306087461318,-0.8569983258447808,-0.6517644672954563,5
cfg_009,0.005,4,3,0,2,500,8,0.05,1.9599639845400534,directed,dir_avg,62.075632095336914,1.316463876005008,1.1473725968511745,0.6714895959610256,0.625,0.32499999999999996,0.36036582355282576,0.6003047755539063,0.6369798413880323,1.0,0.050000000000000044,0.40078794336072204,0.6330781494892412,0.5856198479094588,0.875,0.07499999999999996,0.27159472438030313,0.5211475073146787,0.4557391548037284,0.875,0.07499999999999996,0.5873030918247147,0.13124999999999998,0.84375,-0.4465306087461318,-0.8569983258447808,-0.6517644672954563,6
cfg_010,0.005,6,auto,1,2,500,8,0.05,1.9599639845400534,directed,dir_avg,52.664275884628296,0.9669100983021408,0.9833158690380934,0.6147739276832782,0.75,0.19999999999999996,0.17051632005424577,0.41293621790083485,0.5693184834847891,0.875,0.07499999999999996,1.0836220851543519,1.040971702379249,0.6669346354216265,0.75,0.19999999999999996,0.3277967551363147,0.5725353745720125,0.4557687592921944,0.875,0.07499999999999996,0.6372113146617633,0.13749999999999996,0.8125,-0.36603550029159404,-0.5064081016355529,-0.4362218009635735,7
cfg_011,0.005,6,2,0,2,500,8,0.05,1.9599639845400534,directed,dir_avg,32.57324504852295,0.9669100983021408,0.9833158690380934,0.6147739276832782,0.75,0.19999999999999996,0.17051632005424577,0.41293621790083485,0.5693184834847891,0.875,0.07499999999999996,1.0836220851543519,1.040971702379249,0.6669346354216265,0.75,0.19999999999999996,0.3277967551363147,0.5725353745720125,0.4557687592921944,0.875,0.07499999999999996,0.6372113146617633,0.13749999999999996,0.8125,-0.36603550029159404,-0.5064081016355529,-0.4362218009635735,8
cfg_016,0.01,6,auto,1,2,500,8,0.05,1.9599639845400534,directed,dir_avg,42.823946952819824,0.8687453361316226,0.9320650922181469,0.5421470225780595,0.75,0.19999999999999996,0.16565474081110576,0.40700705253239255,0.5297380805985132,0.875,0.07499999999999996,0.8927867181074676,0.9448739165134508,0.5995244576711584,0.625,0.32499999999999996,0.2780109061148519,0.5272673952700393,0.41315592318838845,0.875,0.07499999999999996,0.551299425291262,0.16874999999999996,0.78125,-0.5045995776980762,1.2465430194105926,0.37097172085625824,9
cfg_017,0.01,6,2,0,2,500,8,0.05,1.9599639845400534,directed,dir_avg,50.42016673088074,0.8687453361316226,0.9320650922181469,0.5421470225780595,0.75,0.19999999999999996,0.16565474081110576,0.40700705253239255,0.5297380805985132,0.875,0.07499999999999996,0.8927867181074676,0.9448739165134508,0.5995244576711584,0.625,0.32499999999999996,0.2780109061148519,0.5272673952700393,0.41315592318838845,0.875,0.07499999999999996,0.551299425291262,0.16874999999999996,0.78125,-0.5045995776980762,1.2465430194105926,0.37097172085625824,10
