rank_ci,rank_joint_top5,tag,clip,output_dim,bandwidth,n,num_runs,mean_mse_all,mean_cover_all,mean_ci_gap_all,joint_score_top5,cover_rate_tau_dir,cover_rate_tau_in,cover_rate_tau_out,cover_rate_tau_tot,ci_gap_tau_dir,ci_gap_tau_in,ci_gap_tau_out,ci_gap_tau_tot,mean_se_tau_dir,mean_se_tau_in,mean_se_tau_out,mean_se_tau_tot
1,1,c1,0.01,4,auto,2000,8,0.198342493364729,0.875,0.09999999999999998,-0.6582482904638638,0.875,1.0,0.875,0.75,0.07499999999999996,0.050000000000000044,0.07499999999999996,0.19999999999999996,0.3697273125776077,0.378577176312179,0.3474986772525053,0.3164471507598975
2,2,c2,0.01,4,2,2000,8,0.198342493364729,0.875,0.09999999999999998,-0.6582482904638638,0.875,1.0,0.875,0.75,0.07499999999999996,0.050000000000000044,0.07499999999999996,0.19999999999999996,0.36222324787665394,0.36870266546987596,0.3398609347912356,0.305989406855664
3,3,c3,0.01,4,3,2000,8,0.198342493364729,0.875,0.09999999999999998,-0.6582482904638638,0.875,1.0,0.875,0.75,0.07499999999999996,0.050000000000000044,0.07499999999999996,0.19999999999999996,0.3687442379977186,0.3766395991348428,0.3461924520223352,0.314713378719177
4,4,c4,0.005,4,auto,2000,8,0.20889049247589084,0.875,0.09999999999999998,0.3623724356957938,0.875,1.0,0.875,0.75,0.07499999999999996,0.050000000000000044,0.07499999999999996,0.19999999999999996,0.4813633604233527,0.4156522585355113,0.3710096253355032,0.3329680638234228
5,5,c5,0.005,4,2,2000,8,0.20889049247589084,0.84375,0.13124999999999998,1.6123724356957938,0.875,1.0,0.75,0.75,0.07499999999999996,0.050000000000000044,0.19999999999999996,0.19999999999999996,0.4739675354179812,0.4062407465055683,0.36305964391004764,0.32284110997212334
