model,n,num_runs,clip,output_dim,num_layers,bandwidth,mean_bandwidth_used,variance_method,ci_alpha,z_crit,mse_tau_dir,cover_rate_tau_dir,mean_se_tau_dir,ci_gap_tau_dir,mse_tau_in,cover_rate_tau_in,mean_se_tau_in,ci_gap_tau_in,mse_tau_out,cover_rate_tau_out,mean_se_tau_out,ci_gap_tau_out,mse_tau_tot,cover_rate_tau_tot,mean_se_tau_tot,ci_gap_tau_tot,mean_mse_all,mean_cover_all,mean_ci_gap_all,rank_ci_then_mse
dirgnn_sage,2000,30,0.001,6,2,auto,3.4,dir_avg,0.05,1.9599639845400534,0.6682774442233053,0.8666666666666667,0.7163194731280168,0.08333333333333326,0.46501035833199705,0.8666666666666667,0.509572451775205,0.08333333333333326,0.26624312508145087,0.9666666666666667,0.39270127056887894,0.01666666666666672,0.1914481699159273,0.9333333333333333,0.32909946754119174,0.016666666666666607,0.39774477438817013,0.9083333333333334,0.04999999999999996,1
dirgnn_pna,2000,30,0.001,6,2,auto,3.4,dir_avg,0.05,1.9599639845400534,0.7455969206543254,0.8333333333333334,0.8004864280645556,0.11666666666666659,0.24598056162508056,0.7333333333333333,0.3514322007879488,0.21666666666666667,0.10767260419147597,0.9,0.3280855849536381,0.04999999999999993,0.13348614041867005,0.7666666666666667,0.24453852091518213,0.18333333333333324,0.30818405672238797,0.8083333333333333,0.1416666666666666,2
