theta_name,theta_d_dir,run,seed,n,treated_proportion,model,val_frac,n_train,n_val,mse,rmse
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",1,123,2000,0.914,gnn,0.3,1402,598,2.1469831255727203,1.4652587230836471
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",1,123,2000,0.914,dirgnn,0.3,1402,598,2.7417197095818433,1.6558139115196018
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",2,124,2000,0.879,gnn,0.3,1405,595,2.020565554993735,1.4214659879834393
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",2,124,2000,0.879,dirgnn,0.3,1405,595,2.86695347731367,1.6932080431280943
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",3,125,2000,0.901,gnn,0.3,1403,597,2.24542808966535,1.4984752549392832
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",3,125,2000,0.901,dirgnn,0.3,1403,597,3.182732226417536,1.7840213637783422
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",4,126,2000,0.9045,gnn,0.3,1404,596,1.6737033465037223,1.293716872620792
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",4,126,2000,0.9045,dirgnn,0.3,1404,596,2.5920055383652683,1.609970663821322
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",5,127,2000,0.912,gnn,0.3,1404,596,2.087099226883884,1.4446796277666145
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",5,127,2000,0.912,dirgnn,0.3,1404,596,2.8311858652881847,1.6826128090824057
