theta_name,theta_d_dir,run,seed,n,treated_proportion,model,state_idx,group,state_prevalence,fpr,fnr,tp,fn,fp,tn
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,dirgnn,7,D1_rin1_rout1,0.491,0.3654223968565815,0.07841140529531568,905,77,372,646
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,0,D0_rin0_rout0,0.136,0.028356481481481483,0.8308823529411765,46,226,49,1679
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,1,D0_rin0_rout1,0.0995,0.02609661299278179,0.7939698492462312,41,158,47,1754
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,2,D0_rin1_rout0,0.0635,0.005339028296849973,0.952755905511811,6,121,10,1863
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,3,D0_rin1_rout1,0.1075,0.007282913165266107,0.9441860465116279,12,203,13,1772
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,4,D1_rin0_rout0,0.011,0.0,1.0,0,22,0,1978
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,5,D1_rin0_rout1,0.0465,0.01101206082852648,0.8709677419354839,12,81,21,1886
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,6,D1_rin1_rout0,0.0695,0.027404621171413217,0.3381294964028777,92,47,51,1810
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,7,D1_rin1_rout1,0.4665,0.6541705716963448,0.03322615219721329,902,31,698,369
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,0,D0_rin0_rout0,0.136,0.046875,0.6029411764705882,108,164,81,1647
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,1,D0_rin0_rout1,0.0995,0.038312048861743477,0.592964824120603,81,118,69,1732
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,2,D0_rin1_rout0,0.0635,0.011745862253069941,0.889763779527559,14,113,22,1851
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,3,D0_rin1_rout1,0.1075,0.013445378151260505,0.8790697674418605,26,189,24,1761
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,4,D1_rin0_rout0,0.011,0.0010111223458038423,0.9545454545454546,1,21,2,1976
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,5,D1_rin0_rout1,0.0465,0.008914525432616675,0.7311827956989247,25,68,17,1890
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,6,D1_rin1_rout0,0.0695,0.02095647501343364,0.39568345323741005,84,55,39,1822
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,7,D1_rin1_rout1,0.4665,0.47141518275538896,0.031082529474812434,904,29,503,564
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,0,D0_rin0_rout0,0.103,0.013377926421404682,0.883495145631068,24,182,24,1770
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,1,D0_rin0_rout1,0.0885,0.022490400438837082,0.807909604519774,34,143,41,1782
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,2,D0_rin1_rout0,0.065,0.0106951871657754,0.9,13,117,20,1850
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,3,D0_rin1_rout1,0.102,0.005011135857461025,0.9117647058823529,18,186,9,1787
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,4,D1_rin0_rout0,0.007,0.0,1.0,0,14,0,1986
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,5,D1_rin0_rout1,0.044,0.018305439330543932,0.6477272727272727,31,57,35,1877
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,6,D1_rin1_rout0,0.062,0.027185501066098083,0.3225806451612903,84,40,51,1825
