model,n,num_runs,clip,output_dim,num_layers,bandwidth,mean_bandwidth_used,variance_method,ci_alpha,z_crit,mse_tau_dir,cover_rate_tau_dir,mean_se_tau_dir,ci_gap_tau_dir,mse_tau_in,cover_rate_tau_in,mean_se_tau_in,ci_gap_tau_in,mse_tau_out,cover_rate_tau_out,mean_se_tau_out,ci_gap_tau_out,mse_tau_tot,cover_rate_tau_tot,mean_se_tau_tot,ci_gap_tau_tot,mean_mse_all,mean_cover_all,mean_ci_gap_all,rank_ci_then_mse
dirgnn_pna,2000,100,0.001,6,2,auto,3.33,dir_avg,0.05,1.9599639845400534,1.0512605711105147,0.9,0.838414393165515,0.04999999999999993,0.15327566365444661,0.94,0.323263719742175,0.010000000000000009,0.11736742026285447,0.92,0.30771646194254326,0.029999999999999916,0.10164589040777114,0.9,0.2575749252670654,0.04999999999999993,0.3558873863588967,0.9149999999999999,0.03499999999999995,1
dirgnn_sage,2000,100,0.001,6,2,auto,3.33,dir_avg,0.05,1.9599639845400534,0.8172169400244917,0.86,0.6768626058936209,0.08999999999999997,0.1449252169585813,0.94,0.35924223470480826,0.010000000000000009,0.1292437119105244,0.98,0.3216913744028546,0.030000000000000027,0.10029636466977994,0.92,0.2723602743926054,0.029999999999999916,0.2979205583908443,0.9249999999999999,0.03999999999999998,2
