theta_name,theta_d_dir,run,seed,n,treated_proportion,model,state_idx,group,state_prevalence,fpr,fnr,tp,fn,fp,tn
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,0,D0_rin0_rout0,0.136,0.028356481481481483,0.8308823529411765,46,226,49,1679
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,1,D0_rin0_rout1,0.0995,0.02609661299278179,0.7939698492462312,41,158,47,1754
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,2,D0_rin1_rout0,0.0635,0.005339028296849973,0.952755905511811,6,121,10,1863
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,3,D0_rin1_rout1,0.1075,0.007282913165266107,0.9441860465116279,12,203,13,1772
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,4,D1_rin0_rout0,0.011,0.0,1.0,0,22,0,1978
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,5,D1_rin0_rout1,0.0465,0.01101206082852648,0.8709677419354839,12,81,21,1886
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,6,D1_rin1_rout0,0.0695,0.027404621171413217,0.3381294964028777,92,47,51,1810
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,7,D1_rin1_rout1,0.4665,0.6541705716963448,0.03322615219721329,902,31,698,369
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,0,D0_rin0_rout0,0.136,0.09953703703703703,0.4264705882352941,156,116,172,1556
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,1,D0_rin0_rout1,0.0995,0.03775680177679067,0.6532663316582915,69,130,68,1733
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,2,D0_rin1_rout0,0.0635,0.015483182060864922,0.8346456692913385,21,106,29,1844
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,3,D0_rin1_rout1,0.1075,0.017927170868347338,0.9069767441860465,20,195,32,1753
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,4,D1_rin0_rout0,0.011,0.0,1.0,0,22,0,1978
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,5,D1_rin0_rout1,0.0465,0.0036706869428421605,0.8817204301075269,11,82,7,1900
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,6,D1_rin1_rout0,0.0695,0.021493820526598602,0.45323741007194246,76,63,40,1821
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,7,D1_rin1_rout1,0.4665,0.4020618556701031,0.06752411575562701,870,63,429,638
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,0,D0_rin0_rout0,0.103,0.013377926421404682,0.883495145631068,24,182,24,1770
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,1,D0_rin0_rout1,0.0885,0.022490400438837082,0.807909604519774,34,143,41,1782
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,2,D0_rin1_rout0,0.065,0.0106951871657754,0.9,13,117,20,1850
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,3,D0_rin1_rout1,0.102,0.005011135857461025,0.9117647058823529,18,186,9,1787
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,4,D1_rin0_rout0,0.007,0.0,1.0,0,14,0,1986
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,5,D1_rin0_rout1,0.044,0.018305439330543932,0.6477272727272727,31,57,35,1877
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,6,D1_rin1_rout0,0.062,0.027185501066098083,0.3225806451612903,84,40,51,1825
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,7,D1_rin1_rout1,0.5285,0.6214209968186638,0.02554399243140965,1030,27,586,357
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,0,D0_rin0_rout0,0.103,0.06633221850613155,0.5631067961165048,90,116,119,1675
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,1,D0_rin0_rout1,0.0885,0.036204059243006036,0.6497175141242938,62,115,66,1757
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,2,D0_rin1_rout0,0.065,0.0021390374331550803,0.9692307692307692,4,126,4,1866
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,3,D0_rin1_rout1,0.102,0.009465478841870824,0.9411764705882353,12,192,17,1779
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,4,D1_rin0_rout0,0.007,0.0,1.0,0,14,0,1986
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,5,D1_rin0_rout1,0.044,0.0041841004184100415,0.7840909090909091,19,69,8,1904
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,6,D1_rin1_rout0,0.062,0.022388059701492536,0.4838709677419355,64,60,42,1834
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,7,D1_rin1_rout1,0.5285,0.5355249204665959,0.065279091769158,988,69,505,438
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,0,D0_rin0_rout0,0.1175,0.014164305949008499,0.8978723404255319,24,211,25,1740
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,1,D0_rin0_rout1,0.0895,0.040637012630422846,0.6815642458100558,57,122,74,1747
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,2,D0_rin1_rout0,0.057,0.0,1.0,0,114,0,1886
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,3,D0_rin1_rout1,0.102,0.0,1.0,0,204,0,1796
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,4,D1_rin0_rout0,0.0125,0.0,1.0,0,25,0,1975
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,5,D1_rin0_rout1,0.042,0.015135699373695199,0.5952380952380952,34,50,29,1887
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,6,D1_rin1_rout0,0.061,0.03780617678381257,0.23770491803278687,93,29,71,1807
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,7,D1_rin1_rout1,0.5185,0.6188992731048806,0.03857280617164899,997,40,596,367
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,0,D0_rin0_rout0,0.1175,0.06118980169971672,0.6042553191489362,93,142,108,1657
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,1,D0_rin0_rout1,0.0895,0.04503020318506315,0.5921787709497207,73,106,82,1739
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,2,D0_rin1_rout0,0.057,0.004772004241781549,0.9824561403508771,2,112,9,1877
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,3,D0_rin1_rout1,0.102,0.0005567928730512249,1.0,0,204,1,1795
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,4,D1_rin0_rout0,0.0125,0.0010126582278481013,0.92,2,23,2,1973
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,5,D1_rin0_rout1,0.042,0.010438413361169102,0.6904761904761905,26,58,20,1896
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,6,D1_rin1_rout0,0.061,0.02875399361022364,0.3360655737704918,81,41,54,1824
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,7,D1_rin1_rout1,0.5185,0.4974039460020768,0.0665380906460945,968,69,479,484
