theta_name,theta_d_dir,n,num_runs,gnn_mean_mse_all,dirgnn_mean_mse_all,delta_mean_mse_all,ratio_mean_mse_all,gnn_mse_tau_dir,dirgnn_mse_tau_dir,delta_mse_tau_dir,ratio_mse_tau_dir,gnn_mse_tau_in,dirgnn_mse_tau_in,delta_mse_tau_in,ratio_mse_tau_in,gnn_mse_tau_out,dirgnn_mse_tau_out,delta_mse_tau_out,ratio_mse_tau_out,gnn_mse_tau_tot,dirgnn_mse_tau_tot,delta_mse_tau_tot,ratio_mse_tau_tot,rank_dirgnn_advantage
out_dominant,"(-0.5, 0.4, 1.8, 0.1, 1.6, 1.0)",2000,10,1.232147736514609,0.37141602013174885,0.8607317163828601,3.317432931615446,3.584472263631915,0.7203557487156066,2.8641165149163084,4.975975092894066,0.25272531608257176,0.11471402481094675,0.138011291271625,2.2030899578240155,0.80696854742622,0.3276318503437051,0.4793366970825149,2.4630344900218417,0.28442481891772836,0.322962456656737,-0.038537637739008646,0.88067455846743,1
symmetric_moderate,"(-0.5, 1.0, 1.0, 0.8, 0.8, 1.0)",2000,10,0.625161086605425,0.38319511494357106,0.24196597166185396,1.6314432575621054,1.2255036809351303,0.35079819293127334,0.874705488003857,3.493472046405966,0.20941148371582008,0.45206128836377324,-0.24264980464795316,0.4632369307130472,0.7783453200647348,0.28436323426977383,0.49398208579496095,2.737151735045758,0.28738386170601454,0.4455577442094637,-0.15817388250344916,0.6449980175205099,2
in_dominant,"(-0.5, 1.8, 0.4, 1.6, 0.1, 1.0)",2000,10,0.6773066329064972,0.4469290584466764,0.23037757445982077,1.5154678804294113,0.7019198975959217,0.42974878048191084,0.2721711171140108,1.6333260953266793,0.2862468031618657,0.45185476309165773,-0.16560795992979205,0.6334929418544187,0.7622255406465167,0.3993119958478964,0.3629135447986203,1.908847088422706,0.9588342902216844,0.5068006943652408,0.45203359585644365,1.8919356285069973,3
baseline,"(-0.5, 1.0, 0.8, 1.0, -0.6, 1.0)",2000,10,0.3088164371155841,0.2805353057573161,0.028281131358267986,1.100811308872236,0.7644408870556466,0.31020946308227937,0.45423142397336724,2.4642732670372722,0.13512254478643657,0.09523893612992196,0.03988360865651461,1.4187741933835405,0.12571942084081994,0.5236135473846133,-0.39789412654379336,0.24009963353464273,0.20998289577943327,0.19307927643244988,0.016903619346983395,1.08754755900951,4
weak_directional,"(-0.5, 0.6, 0.5, 0.3, -0.2, 1.0)",2000,10,0.21237373290270228,0.28989651415228485,-0.07752278124958256,0.7325846380861991,0.4792261490997059,0.27317812193467345,0.20604802716503245,1.7542625511361625,0.24227360088503178,0.3307596852592415,-0.08848608437420971,0.7324762106214473,0.06329462962417419,0.22707467151768296,-0.16378004189350875,0.27873927638488405,0.06470055200189734,0.3285735778975413,-0.263873025895644,0.19691343538911343,5
asym_signflip,"(-0.5, 1.8, 0.2, 1.8, -1.4, 1.0)",2000,10,0.3356131037248799,0.5023693379779264,-0.16675623425304648,0.6680604852910558,0.36963062602807567,0.7015954166540632,-0.33196479062598755,0.5268429885002086,0.5906838877418287,0.25518431205092673,0.33549957569090194,2.3147343306274517,0.20235784749306215,0.7195057772298764,-0.5171479297368142,0.28124561872476866,0.17978005363655317,0.33319184597683915,-0.15341179234028599,0.5395691875636418,6
