DIR_DROPOUT_RATES=(0 0.01 0.1 0.2)

gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.045(0.094033),1.047(0.047711),1.034(0.038682),0.003(0.039218),0.649528,0.411457,0.379027,0.294117,0.877(0.223559),0.228(0.037246),0.149(0.022997),0.152(0.025211),0.87,0.89,0.89,0.83
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_max,3.03,-2.088(0.078051),0.964(0.056342),1.041(0.059134),-0.036(0.047475),0.476077,0.439699,0.414999,0.287932,0.611(0.088141),0.316(0.049720),0.348(0.069044),0.224(0.035284),0.65,0.83,0.8,0.68
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_max,3.03,-2.084(0.082715),0.950(0.052409),1.033(0.052709),-0.021(0.042415),0.469939,0.422612,0.435161,0.266075,0.684(0.102041),0.274(0.049657),0.276(0.047414),0.179(0.027255),0.64,0.86,0.86,0.79
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_max,3.03,-2.094(0.091010),0.976(0.047569),1.010(0.040521),-0.041(0.039942),0.649336,0.392915,0.384593,0.292679,0.829(0.150458),0.225(0.049351),0.163(0.027739),0.160(0.031960),0.79,0.93,0.94,0.84
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_max,3.03,-2.039(0.093635),0.967(0.052602),0.998(0.060203),-0.020(0.048703),0.665175,0.450647,0.457527,0.355975,0.869(0.138181),0.275(0.050568),0.359(0.115419),0.235(0.042441),0.8,0.94,0.95,0.87
(0 dropout, no early stopping)
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_max,3.03,-1.944(0.092385),1.006(0.063775),1.008(0.045841),-0.038(0.037480),0.715002,0.439395,0.384072,0.304674,0.848(0.149087),0.403(0.137379),0.208(0.045639),0.141(0.021444),0.82,0.92,0.92,0.86
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_max,3.03,-1.967(0.092100),0.979(0.051417),1.018(0.045513),-0.024(0.039932),0.648863,0.422975,0.415996,0.324728,0.841(0.177929),0.262(0.057288),0.205(0.036242),0.158(0.031681),0.82,0.95,0.95,0.92
gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.269(0.095840),0.954(0.027880),0.954(0.026872),0.007(0.026107),0.684001,0.223477,0.215583,0.179151,0.982(0.304954),0.079(0.020341),0.074(0.018737),0.068(0.015693),0.87,0.9,0.87,0.89

