model,DGP,num_runs,n,seed,gen_graph,tau_dir_true,tau_in_true,tau_out_true,tau_tot_true,features,clip,L,output_dim,variance_type,variance_method,bandwidth,tau_dir,tau_in,tau_out,tau_tot,mean_sigma_hat_tau_dir,mean_sigma_hat_tau_in,mean_sigma_hat_tau_out,mean_sigma_hat_tau_tot,MSE_tau_dir,MSE_tau_in,MSE_tau_out,MSE_tau_tot,cover_rate_tau_dir,cover_rate_tau_in,cover_rate_tau_out,cover_rate_tau_tot
gnn,spillover,2,120,123,er,2.0,1.0,1.0,4.0,node_features,0.001,1,4,iid,iid,,1.565(0.627698),1.954(0.345792),1.940(0.939721),5.584(0.746840),0.117255,0.084494,0.219746,0.139614,0.583(0.545475),1.030(0.659864),1.767(1.767144),3.067(2.366016),0.5,0.0,0.5,0.0
gnn,spillover,2,120,123,er,2.0,1.0,1.0,4.0,node_features,0.001,1,4,iid,iid,,1.565(0.627698),1.954(0.345792),1.940(0.939721),5.584(0.746840),0.117255,0.084494,0.219746,0.139614,0.583(0.545475),1.030(0.659864),1.767(1.767144),3.067(2.366016),0.5,0.0,0.5,0.0
